CS_MCF15_program-004 2
0.012838
2
0.3
	730	756	744	681	769	705	731	666	685	646	
	682	679	639	612	683	632	621	618	596	630	
	643	670	588	582	601	611	591	592	568	552	
	585	582	587	558	541	542	532	557	496	539	
	543	526	503	512	507	518	523	512	490	491	
	497	497	498	494	418	440	462	463	494	475	
	430	410	442	427	460	399	417	430	416	397	
	451	435	415	401	384	417	427	382	388	377	
	371	392	384	382	390	415	374	384	379	370	
	372	370	353	364	363	331	316	361	372	341	
	356	324	326	326	301	302	292	298	335	295	
	317	301	347	335	356	305	279	283	306	297	
	273	255	285	259	303	287	298	291	273	267	
	284	311	259	251	258	267	287	290	263	255	
	278	277	256	252	265	247	227	242	236	234	
	248	271	252	229	252	247	257	242	230	251	
	239	254	232	218	214	232	234	215	212	213	
	200	210	190	230	217	198	221	212	210	235	
	204	210	196	200	198	189	196	198	220	196	
	192	199	190	186	205	194	177	221	188	186	
	192	201	180	159	187	187	215	175	166	197	
	182	155	174	174	182	207	179	175	180	196	
	182	171	197	176	162	194	170	152	172	146	
	177	180	191	167	170	177	150	154	148	166	
	162	160	158	178	144	122	167	156	137	149	
	114	163	159	166	125	142	157	152	145	140	
	134	139	110	150	154	131	144	143	143	144	
	164	148	121	133	121	132	148	125	132	132	
	137	137	136	128	126	97	125	135	121	144	
	123	131	126	139	122	98	105	127	140	131	
	110	125	109	105	126	113	142	139	118	127	
	110	113	115	122	111	136	109	118	106	107	
	127	114	129	143	123	121	134	115	118	89	
	125	119	116	112	100	113	105	115	118	105	
	109	112	117	106	104	136	121	105	93	103	
	105	118	114	117	80	115	127	115	108	116	
	99	112	108	121	103	111	98	109	97	89	
	114	105	119	92	127	84	99	98	106	97	
	108	95	101	86	109	92	93	76	102	97	
	108	107	98	116	97	107	112	96	110	92	
	115	110	82	100	101	94	81	102	115	107	
	95	94	96	73	93	99	94	90	88	111	
	108	92	72	78	86	90	97	77	86	102	
	89	92	104	83	96	80	108	86	83	90	
	89	76	81	94	75	112	91	84	84	88	
	96	102	88	77	92	80	85	94	86	84	
	100	101	84	98	98	85	79	87	71	84	
	87	85	91	76	81	85	92	90	89	93	
	102	77	97	98	92	99	94	100	94	94	
	111	79	90	91	105	95	98	95	89	102	
	103	90	79	85	100	94	78	79	84	79	
	88	84	71	88	70	59	103	77	94	71	
	78	86	82	97	81	93	105	95	92	64	
	85	73	94	76	75	87	74	89	68	84	
	83	95	89	85	92	77	71	79	79	70	
	89	97	70	82	65	76	66	82	63	89	
	83	88	84	92	93	72	72	93	86	95	
	87	72	81	79	79	77	73	86	83	85	
	89	101	87	106	82	76	68	90	81	77	
	83	77	83	96	109	84	85	77	81	91	
	81	80	73	107	82	90	86	89	101	68	
	85	73	83	95	73	78	78	76	89	78	
	89	92	69	68	62	93	77	90	81	75	
	91	69	82	78	69	72	83	78	72	94	
	85	79	77	66	88	94	80	70	69	78	
	89	85	73	84	71	76	71	65	100	81	
	76	80	68	69	86	70	86	68	76	80	
	78	70	66	99	81	78	63	94	68	74	
	83	70	68	82	73	83	89	80	69	79	
	77	82	75	70	69	74	85	78	85	60	
	76	78	88	68	83	76	77	88	79	73	
	75	84	75	74	78	90	78	81	82	86	
	99	79	83	86	78	75	77	78	73	76	
	99	73	89	86	97	76	67	81	67	58	
	74	75	94	79	73	59	66	69	81	72	
	98	73	85	60	67	75	76	73	77	77	
	91	83	82	75	79	70	84	79	66	75	
	71	81	81	76	76	82	63	84	74	79	
	63	78	62	78	76	81	79	75	72	76	
	96	66	75	77	85	74	78	92	89	73	
	58	92	84	86	68	70	70	72	68	65	
	85	74	71	74	69	93	70	89	68	72	
	90	80	77	78	73	67	82	91	90	79	
	52	65	68	84	86	83	82	65	76	80	
	93	83	81	95	76	88	75	63	79	66	
	79	81	112	85	78	72	74	73	82	79	
	87	91	82	74	71	86	63	69	85	76	
	83	87	82	72	77	85	75	77	84	79	
	74	89	72	77	82	85	78	85	90	76	
	76	75	68	80	84	72	74	88	79	77	
	55	98	77	58	75	67	72	70	77	56	
	88	71	79	78	76	87	73	58	72	85	
	70	74	66	67	74	74	86	56	72	68	
	69	64	72	75	84	79	68	75	68	75	
	70	78	77	78	58	63	79	66	97	63	
	79	95	68	84	72	77	77	65	85	81	
	71	66	83	66	83	73	78	74	64	86	
	81	73	87	70	78	88	79	60	80	86	
	76	76	74	68	82	90	82	81	75	64	
	76	84	79	87	72	70	97	83	80	68	
	82	85	75	71	73	68	71	79	78	74	
	61	72	79	69	79	64	89	80	78	78	
	97	84	69	82	64	75	78	80	77	69	
	62	61	61	62	81	70	96	70	71	88	
	91	67	65	72	82	101	83	64	70	72	
	72	73	74	87	73	85	85	67	57	78	
	89	65	60	79	65	73	81	78	75	68	
	62	57	72	74	69	84	77	80	65	84	
	61	61	68	73	86	78	70	82	96	74	
	64	69	69	84	67	89	87	72	71	70	
	81	87	71	80	64	62	70	62	79	70	
	68	74	67	75	61	71	81	88	87	71	
	71	63	69	95	83	84	69	71	65	81	
	77	76	66	89	69	73	66	107	92	77	
	73	74	81	61	79	70	80	84	81	82	
	72	83	76	74	78	77	80	65	79	64	
	79	68	71	76	72	89	69	82	69	71	
	80	68	62	69	66	75	65	73	65	66	
	69	63	71	68	68	64	67	72	77	77	
	66	67	70	70	71	60	70	63	59	68	
	58	60	62	69	75	68	88	72	74	68	
	77	65	69	71	73	92	86	84	73	82	
	87	73	77	77	73	87	76	84	85	80	
	73	87	90	79	72	82	68	87	90	78	
	68	73	70	72	69	67	77	76	71	69	
	84	76	94	84	75	67	78	89	70	67	
	64	78	78	78	68	78	96	85	70	78	
	82	79	72	62	65	65	67	55	64	71	
	85	58	80	76	82	69	61	70	75	58	
	84	66	78	72	61	69	69	74	77	75	
	69	72	86	71	70	83	84	83	78	84	
	80	74	77	76	66	85	72	79	87	81	
	78	77	70	74	77	91	89	82	63	62	
	97	88	86	74	80	82	89	80	82	78	
	59	88	97	77	86	72	79	87	78	69	
	94	73	72	74	73	79	80	87	77	89	
	81	83	71	72	64	73	89	79	68	69	
	86	71	84	73	80	85	63	85	53	94	
	63	72	69	89	72	66	72	70	82	73	
	85	68	66	65	73	85	80	92	67	81	
	66	94	63	66	59	82	73	86	75	84	
	80	87	79	85	70	67	67	62	79	78	
	77	81	74	74	76	82	64	87	67	80	
	82	92	73	85	58	77	77	70	64	77	
	57	75	73	77	53	82	75	67	55	72	
	66	78	63	63	78	71	78	78	83	73	
	65	71	74	91	73	63	73	62	68	67	
	100	87	69	96	65	83	66	71	74	77	
	77	70	71	86	54	80	70	73	78
